aX,aY,aZ,gX,gY,gZ
0090,-0.351,2.148,-53.040,-94.849,-48.828
-0.045,-0.303,2.113,-62.439,-73.425,-46.265
-0.025,-0.439,1.924,-72.632,-52.795,-47.119
-0.024,-0.469,1.831,-76.843,-40.344,-44.250
-0.002,-0.447,1.620,-80.261,-29.968,-34.912
0.016,-0.437,1.432,-77.087,-20.508,-27.527
0.017,-0.371,1.391,-67.383,-19.348,-17.212
0.019,-0.257,1.332,-57.556,-17.029,-7.874
0.024,-0.151,1.342,-49.622,-14.832,-2.869
0.009,-0.105,1.297,-40.466,-11.475,-1.892
-0.016,-0.016,1.267,-33.081,-7.019,-1.160
0.024,0.031,1.286,-33.875,-3.479,-2.319
-0.019,-0.065,1.192,-30.090,0.854,-7.935
-0.020,-0.094,1.228,-33.203,3.723,-10.193
-0.032,-0.083,1.149,-43.457,9.277,-7.141
-0.022,-0.110,1.083,-48.767,11.841,-5.432
-0.023,-0.039,1.008,-47.424,12.207,-2.258
-0.023,-0.028,0.907,-39.307,11.414,-1.038
-0.022,-0.107,0.932,-27.893,5.432,-2.136
-0.020,-0.075,0.985,-19.531,0.732,0.610
-0.019,-0.036,1.001,-16.235,-0.488,3.662
-0.018,-0.026,1.035,-16.479,-0.732,4.272
-0.013,-0.003,1.028,-17.700,0.183,5.188
-0.012,-0.020,1.007,-17.151,1.648,5.249
-0.011,-0.033,1.008,-16.479,1.831,5.615
-0.014,-0.013,1.001,-16.052,2.197,7.202
-0.013,0.018,1.004,-17.029,2.441,8.667
-0.019,0.048,1.012,-17.456,2.808,9.155
-0.023,0.063,1.020,-17.639,3.357,8.728
-0.023,0.064,1.010,-17.822,4.211,7.690
-0.029,0.082,0.992,-17.822,4.700,7.874
-0.030,0.113,0.987,-16.479,4.578,7.874
-0.028,0.130,1.003,-14.465,3.479,7.080
-0.026,0.124,1.040,-12.573,2.625,5.493
-0.027,0.113,1.070,-11.353,2.625,4.456
-0.020,0.131,1.108,-10.864,3.052,4.150
-0.017,0.129,1.148,-10.620,4.333,3.662
-0.016,0.137,1.162,-9.644,7.080,3.052
-0.022,0.151,1.135,-8.423,10.681,2.380
-0.026,0.131,1.115,-7.324,13.306,0.977
-0.026,0.130,1.109,-6.714,14.648,0.244
-0.025,0.132,1.103,-6.470,15.808,-0.488
-0.028,0.133,1.108,-5.798,16.785,-1.587
-0.027,0.067,1.083,-5.371,18.127,-2.808
-0.027,0.093,1.112,-2.380,17.822,-2.441
-0.026,0.076,1.112,-0.122,18.738,-2.441
-0.023,0.066,1.147,1.038,19.531,-2.747
-0.018,0.042,1.142,0.671,21.484,-2.441
-0.016,0.067,1.156,0.000,23.376,-1.526
-0.016,0.076,1.189,-0.305,25.391,-1.404
-0.008,0.036,1.203,-0.854,28.259,-2.014
-0.011,0.040,1.233,0.061,31.067,-1.831
-0.010,0.072,1.208,0.488,35.400,-0.671
-0.006,0.041,1.186,-1.648,38.574,-1.282
-0.002,0.085,1.135,-2.686,41.138,-0.977
0.005,0.032,1.098,-5.005,41.870,-1.648
0.016,0.053,1.142,-5.371,40.710,-1.709
0.033,0.057,1.184,-5.432,40.344,-1.221
0.037,0.001,1.232,-3.601,41.748,-2.014
0.037,0.008,1.275,0.793,43.884,-1.221
0.028,0.032,1.316,3.723,47.363,0.244
0.037,-0.003,1.335,6.592,50.781,0.244
0.063,0.047,1.374,5.310,53.894,1.648
0.088,0.007,1.382,3.357,56.885,2.136
0.081,-0.016,1.420,6.042,62.439,0.854
0.088,0.003,1.434,9.827,67.200,3.845
0.073,-0.047,1.510,15.076,70.923,4.272
0.091,0.012,1.519,21.423,77.698,7.812
0.081,0.087,1.504,26.733,85.144,9.399
0.097,0.003,1.484,31.006,91.492,7.446
0.089,0.051,1.406,30.823,98.267,7.690
0.105,-0.018,1.349,32.898,104.614,9.094
0.099,-0.056,1.327,33.813,108.276,10.315
0.081,0.056,1.229,35.767,114.685,15.808
0.069,0.102,1.110,32.898,118.835,17.212
0.075,0.064,0.968,29.419,119.446,15.015
0.068,0.133,0.890,26.428,116.028,14.832
0.117,0.068,0.916,26.184,108.765,12.817
0.127,0.056,0.845,26.550,108.765,11.230
0.158,0.162,0.781,23.560,107.666,14.465
0.172,0.115,0.712,20.691,105.652,11.719
0.207,0.136,0.720,19.165,101.501,10.315
0.247,0.112,0.733,19.775,98.511,9.094
0.262,0.060,0.783,24.841,97.107,6.958
0.267,0.058,0.710,29.419,98.511,8.057
0.283,0.033,0.632,34.424,98.572,8.484
0.287,0.002,0.640,39.978,92.896,9.460
0.319,0.028,0.629,43.457,88.257,11.230
0.342,0.046,0.692,44.128,83.008,11.719
0.346,0.028,0.766,42.053,80.811,10.864
0.376,0.076,0.742,38.208,84.106,10.803
0.385,0.075,0.689,33.142,87.280,9.766
0.393,0.096,0.681,30.640,89.172,8.545
0.420,0.027,0.693,30.579,90.759,5.493
0.423,-0.006,0.655,31.494,93.201,4.211
0.425,0.004,0.505,30.396,96.680,4.578
0.447,-0.072,0.415,29.785,95.215,4.456
0.443,-0.043,0.353,29.602,91.614,5.249
0.470,-0.056,0.348,29.114,86.731,6.348
0.464,-0.068,0.292,24.902,82.275,5.188
0.496,-0.067,0.207,22.583,77.515,5.310
0.502,-0.103,0.204,22.278,69.885,4.517
0.539,-0.040,0.176,21.057,62.744,5.127
0.553,-0.020,0.146,20.020,55.847,3.845
0.585,-0.059,0.127,21.423,47.974,0.366
0.585,-0.091,0.119,21.973,39.856,-1.648
0.591,-0.093,0.121,23.071,32.104,-2.136
0.600,-0.179,0.148,20.752,23.804,-3.540
0.605,-0.134,0.171,16.357,16.418,-2.380
0.609,-0.154,0.226,12.207,8.667,-2.319
0.608,-0.161,0.262,9.644,2.441,-3.052
0.613,-0.192,0.297,7.019,-2.319,-3.479
0.610,-0.179,0.328,4.456,-6.653,-2.747
0.607,-0.195,0.372,1.648,-11.475,-2.808
0.604,-0.219,0.345,-1.831,-15.076,-2.991
0.608,-0.253,0.410,-3.723,-20.508,-2.502
0.597,-0.242,0.497,-3.723,-25.146,-0.854
0.599,-0.219,0.551,-4.272,-26.184,1.404
0.591,-0.244,0.600,-4.761,-26.123,2.136
-0.103,0.315,2.144,20.508,55.237,-3.662
-0.105,0.303,2.146,21.851,69.580,-5.066
-0.107,0.317,2.109,26.733,83.984,-5.554
-0.111,0.319,2.054,34.851,97.168,-5.615
-0.122,0.291,1.980,45.654,109.253,-5.798
-0.125,0.356,1.960,57.373,118.835,-3.357
-0.132,0.369,1.969,67.505,127.319,-2.563
-0.146,0.392,1.918,75.928,138.306,-2.014
-0.154,0.490,1.840,83.557,149.231,-1.038
-0.151,0.531,1.787,89.844,157.410,-2.441
-0.153,0.512,1.700,93.079,166.077,-6.592
-0.151,0.511,1.523,94.177,176.453,-9.888
-0.141,0.504,1.418,94.177,183.472,-12.634
-0.153,0.476,1.286,91.858,190.796,-15.991
-0.143,0.501,1.061,89.355,199.707,-18.311
-0.121,0.487,0.853,91.492,203.613,-22.034
-0.101,0.438,0.743,94.055,201.721,-25.024
-0.078,0.416,0.640,99.731,199.951,-26.428
-0.054,0.370,0.550,106.079,197.876,-27.344
-0.039,0.328,0.545,110.718,194.214,-27.832
-0.029,0.251,0.515,112.000,191.711,-28.687
-0.032,0.227,0.435,108.459,191.650,-28.809
-0.020,0.169,0.328,100.037,191.162,-29.541
0.005,0.100,0.144,90.332,189.819,-30.334
0.038,0.068,0.034,83.923,184.448,-28.687
0.077,0.061,-0.064,78.979,175.903,-26.367
0.122,0.094,-0.163,72.998,166.321,-24.475
0.167,0.034,-0.224,66.040,155.518,-26.123
0.201,-0.042,-0.278,57.434,144.470,-27.405
0.227,-0.106,-0.389,50.537,135.071,-26.428
0.262,-0.151,-0.482,43.457,122.925,-24.231
0.307,-0.150,-0.510,39.673,108.337,-21.729
0.357,-0.124,-0.473,37.415,92.590,-19.470
0.399,-0.173,-0.441,34.973,78.491,-19.714
0.434,-0.198,-0.436,31.921,66.040,-19.043
0.468,-0.221,-0.337,29.846,51.270,-18.555
0.487,-0.297,-0.259,23.865,38.818,-18.188
0.497,-0.329,-0.213,17.029,29.846,-15.442
0.517,-0.321,-0.143,11.475,20.203,-11.536
0.536,-0.363,-0.017,9.827,9.827,-9.766
0.560,-0.347,0.059,9.705,3.296,-6.714
0.576,-0.354,0.084,10.193,0.061,-4.333
0.582,-0.375,0.120,11.230,-4.211,-3.174
0.591,-0.376,0.156,11.108,-8.850,-1.160
0.600,-0.387,0.221,10.925,-13.916,1.343
0.611,-0.377,0.279,10.742,-18.616,3.967
0.627,-0.359,0.355,10.986,-22.949,6.775
0.647,-0.350,0.454,10.742,-26.794,8.789
0.659,-0.357,0.540,9.216,-28.503,9.949
0.675,-0.337,0.621,6.958,-28.442,11.475
0.687,-0.326,0.654,4.028,-26.855,12.817
0.695,-0.282,0.672,0.916,-24.841,13.794
0.703,-0.273,0.710,-2.319,-23.987,13.550
0.711,-0.263,0.771,-5.005,-23.376,13.000
0.718,-0.246,0.811,-6.775,-21.179,12.573
0.724,-0.244,0.845,-8.179,-17.761,11.902
0.729,-0.239,0.851,-9.338,-13.794,10.986
0.738,-0.237,0.833,-10.498,-9.888,10.376
0.741,-0.223,0.829,-10.681,-6.897,10.071
0.742,-0.209,0.816,-9.155,-4.150,9.827
0.738,-0.187,0.794,-7.935,-1.587,9.460
0.729,-0.194,0.761,-8.301,0.549,8.301
0.721,-0.199,0.717,-10.193,2.319,7.263
0.717,-0.185,0.678,-10.620,2.991,7.141
0.713,-0.156,0.657,-8.362,2.686,6.836
0.709,-0.151,0.622,-5.615,2.441,5.310
0.705,-0.163,0.604,-4.211,1.282,3.235
0.705,-0.177,0.631,-3.601,-0.732,2.014
0.701,-0.197,0.661,-3.418,-1.587,1.099
0.701,-0.174,0.668,-2.014,-1.404,1.038
0.699,-0.192,0.680,0.122,-1.343,-0.427
0.698,-0.205,0.690,1.709,-1.099,-1.404
0.694,-0.214,0.684,3.174,-0.671,-1.953
0.691,-0.245,0.686,3.357,-0.244,-2.319
0.687,-0.259,0.687,2.563,0.122,-2.319
0.682,-0.280,0.701,2.258,0.000,-1.831
0.680,-0.268,0.699,1.099,0.610,-0.732
0.678,-0.270,0.695,0.366,1.221,-0.122
0.673,-0.263,0.699,-0.854,1.404,0.122
0.672,-0.265,0.695,-1.831,1.648,0.244
0.671,-0.283,0.694,-3.052,2.319,0.366
0.669,-0.269,0.694,-3.052,2.808,1.465
0.668,-0.262,0.676,-2.136,3.601,2.380
0.666,-0.253,0.661,-1.099,3.845,2.991
0.664,-0.251,0.651,-0.610,3.906,3.296
0.661,-0.251,0.645,0.061,3.723,3.418
0.661,-0.246,0.650,0.793,3.296,3.601
0.660,-0.236,0.648,1.831,2.869,3.967
0.658,-0.233,0.644,2.502,2.930,3.601
0.656,-0.240,0.641,1.953,2.625,2.930
0.655,-0.245,0.631,-0.061,2.380,2.686
0.657,-0.246,0.627,-1.953,2.258,2.930
0.658,-0.246,0.631,-3.479,1.709,3.174
0.658,-0.232,0.633,-4.150,1.343,3.357
0.659,-0.230,0.633,-4.150,1.282,3.052
0.657,-0.240,0.643,-3.113,1.160,2.441
0.659,-0.242,0.644,-2.136,1.160,2.136
0.658,-0.250,0.623,-2.808,1.648,2.075
0.659,-0.244,0.613,-3.235,1.343,2.258
0.664,-0.250,0.610,-3.113,0.732,2.136
0.668,-0.256,0.617,-2.258,0.122,1.953
0.670,-0.254,0.619,-0.916,-0.183,1.953
0.672,-0.263,0.628,-0.366,-0.427,2.014
0.673,-0.273,0.638,-0.977,-0.732,2.319
0.675,-0.266,0.638,-2.563,-0.732,3.357
0.677,-0.255,0.649,-3.967,-0.671,4.089
0.678,-0.254,0.669,-4.089,-0.610,4.333
0.676,-0.248,0.675,-3.540,-0.061,4.211
0.677,-0.231,0.661,-3.479,0.854,4.395
0.679,-0.222,0.643,-3.479,1.221,4.028
0.687,-0.206,0.652,-2.930,0.488,2.991
0.688,-0.229,0.675,-2.441,0.000,1.770
0.689,-0.238,0.679,-1.831,0.427,0.977
0.687,-0.248,0.672,-1.587,1.160,0.732
0.688,-0.252,0.692,-1.587,1.038,0.671
0.692,-0.257,0.713,-1.892,1.526,0.732
0.693,-0.253,0.710,-3.357,2.869,0.916
0.693,-0.255,0.701,-4.333,3.967,0.977
0.693,-0.257,0.695,-4.761,4.761,1.099
-0.252,0.685,1.805,-123.657,-180.603,30.762
-0.222,0.563,2.010,-118.713,-173.828,19.653
-0.186,0.540,2.075,-115.051,-161.011,15.930
-0.187,0.475,2.059,-116.577,-144.470,13.489
-0.150,0.484,2.099,-113.647,-132.446,13.367
-0.138,0.511,2.167,-102.600,-123.230,13.123
-0.122,0.526,2.193,-88.379,-112.732,11.230
-0.119,0.537,2.191,-75.439,-101.624,8.911
-0.083,0.509,2.215,-64.026,-90.515,6.287
-0.078,0.511,2.088,-58.167,-75.684,4.700
-0.070,0.439,2.025,-45.288,-63.660,-0.061
-0.066,0.389,1.976,-33.142,-54.260,-2.014
-0.076,0.373,1.792,-28.625,-40.344,-2.014
-0.086,0.332,1.646,-24.170,-29.358,-1.953
-0.096,0.314,1.550,-19.897,-22.278,-1.526
-0.090,0.296,1.446,-17.456,-14.954,-0.244
-0.090,0.329,1.351,-14.709,-8.972,1.770
-0.092,0.337,1.289,-11.963,-5.615,2.258
-0.104,0.303,1.223,-9.888,-2.075,1.831
-0.108,0.297,1.153,-7.446,0.977,2.502
-0.114,0.275,1.066,-6.470,3.723,2.930
-0.121,0.269,0.964,-7.019,5.249,4.150
-0.124,0.291,0.945,-8.362,4.395,5.859
-0.122,0.293,0.945,-10.010,3.479,6.653
-0.118,0.331,0.923,-10.254,3.479,7.690
-0.111,0.338,0.910,-8.789,3.174,7.690
-0.101,0.333,0.932,-6.714,2.014,6.714
-0.095,0.323,0.941,-5.920,1.709,5.981
-0.094,0.309,0.927,-6.714,2.258,5.676
-0.088,0.318,0.927,-7.263,2.014,6.104
-0.084,0.321,0.958,-6.592,0.916,6.470
-0.073,0.333,0.990,-5.554,0.549,6.470
-0.062,0.352,1.011,-4.578,1.099,6.104
-0.055,0.340,1.032,-3.601,2.014,4.883
-0.051,0.324,1.047,-3.174,3.723,3.784
-0.044,0.338,1.055,-1.953,5.371,3.662
-0.042,0.339,1.062,-0.854,7.141,3.174
-0.047,0.327,1.059,0.610,9.155,2.075
-0.049,0.343,1.051,2.197,10.803,1.770
-0.053,0.346,1.087,3.906,11.597,1.282
-0.057,0.341,1.124,4.517,12.817,0.610
-0.059,0.353,1.148,4.883,14.954,0.427
-0.057,0.373,1.191,5.981,17.090,-0.244
-0.047,0.381,1.217,7.507,19.958,-1.831
-0.047,0.365,1.221,9.888,23.743,-3.662
-0.045,0.348,1.187,11.841,27.771,-5.432
-0.042,0.324,1.172,14.709,30.762,-7.019
-0.044,0.295,1.147,17.273,33.386,-7.629
-0.047,0.283,1.125,18.982,35.767,-7.385
-0.046,0.303,1.142,20.691,36.743,-6.592
-0.048,0.284,1.151,21.667,38.330,-6.714
-0.046,0.291,1.165,22.705,40.405,-6.531
-0.046,0.276,1.192,24.780,42.175,-6.348
-0.046,0.277,1.187,24.048,45.105,-5.920
-0.045,0.271,1.177,23.621,48.218,-5.493
-0.038,0.273,1.205,23.560,49.744,-5.310
-0.032,0.284,1.232,23.987,51.758,-5.005
-0.026,0.290,1.256,25.696,54.504,-4.883
-0.024,0.279,1.275,28.076,57.556,-5.188
-0.021,0.281,1.296,31.799,61.096,-5.493
-0.014,0.273,1.333,35.706,64.331,-5.798
-0.010,0.247,1.341,38.025,68.359,-6.042
-0.003,0.252,1.358,40.894,72.449,-5.432
0.003,0.257,1.361,42.542,76.416,-4.639
0.007,0.251,1.386,43.091,80.078,-4.639
