aX,aY,aZ,gX,gY,gZ
141,0.645,-10.620,19.592,1.892
0.901,-0.119,0.628,-12.573,24.536,1.526
0.906,-0.154,0.619,-15.747,27.588,-0.488
0.910,-0.186,0.601,-20.325,29.968,-1.282
0.922,-0.237,0.592,-24.658,31.799,-0.916
0.922,-0.274,0.630,-27.954,33.081,1.221
0.919,-0.259,0.627,-29.663,36.072,5.554
0.921,-0.247,0.662,-31.006,37.964,8.850
0.920,-0.244,0.693,-33.081,39.673,11.963
0.913,-0.221,0.736,-34.729,41.931,15.076
0.903,-0.180,0.723,-33.752,45.898,17.822
0.899,-0.142,0.761,-30.518,48.523,18.677
0.880,-0.128,0.791,-25.940,50.415,18.066
0.883,-0.099,0.854,-23.315,53.162,16.296
0.882,-0.103,0.921,-22.644,57.007,14.282
0.866,-0.182,0.873,-26.489,64.758,11.780
0.846,-0.229,0.766,-35.217,71.472,13.367
0.840,-0.279,0.719,-44.617,72.876,17.395
0.853,-0.330,0.674,-55.176,72.571,22.156
0.849,-0.253,0.694,-63.049,72.205,30.151
0.845,-0.096,0.682,-64.331,73.792,36.255
0.833,0.018,0.628,-61.279,76.965,34.973
0.814,0.051,0.608,-51.575,77.698,27.954
0.805,0.057,0.656,-36.743,77.332,18.616
0.810,-0.023,0.726,-24.353,78.247,8.850
0.805,-0.144,0.702,-19.592,82.520,1.404
0.817,-0.252,0.509,-23.499,88.135,-0.732
0.814,-0.472,0.383,-34.851,86.609,1.404
0.813,-0.503,0.333,-47.058,80.566,13.672
0.810,-0.418,0.241,-58.350,75.256,30.579
0.823,-0.210,0.325,-69.763,65.796,43.579
0.838,0.059,0.395,-75.439,59.448,51.575
0.819,0.192,0.411,-74.707,59.753,47.791
0.791,0.269,0.384,-65.063,62.378,37.598
0.777,0.215,0.398,-53.101,65.613,23.682
0.759,0.090,0.277,-46.387,70.557,11.353
0.752,-0.019,0.082,-46.204,74.036,4.822
0.794,-0.141,0.027,-53.589,68.665,4.028
0.804,-0.144,-0.062,-67.566,62.012,9.705
0.838,-0.003,-0.076,-82.397,55.359,19.104
0.884,0.148,0.051,-91.492,46.509,22.949
0.900,0.218,0.189,-94.421,44.128,19.165
0.895,0.207,0.205,-91.125,50.171,11.108
0.838,0.173,0.060,-77.332,59.937,2.441
0.809,0.045,0.016,-57.556,63.660,-6.958
0.809,-0.095,0.041,-43.213,62.134,-12.878
0.807,-0.125,0.007,-40.405,63.232,-11.841
0.848,-0.112,-0.061,-47.180,64.514,-8.240
0.896,0.002,-0.044,-52.246,62.805,-4.761
0.897,-0.036,0.149,-47.607,59.998,-7.935
0.900,0.021,0.132,-50.415,66.956,-10.010
0.849,0.021,-0.042,-51.086,78.674,-13.184
0.820,-0.128,-0.022,-47.485,80.505,-20.386
0.806,-0.220,-0.027,-46.082,81.421,-21.973
0.766,-0.219,-0.145,-47.180,85.205,-19.165
0.786,-0.200,-0.162,-47.729,85.571,-16.968
0.797,-0.198,-0.084,-45.471,84.106,-16.357
