aX,aY,aZ,gX,gY,gZ
-1.084,0.318,-1.395,11.536,88.440,39.551
-1.160,0.399,-1.495,17.944,87.463,38.025
-1.200,0.426,-1.557,29.053,82.886,32.776
-1.219,0.486,-1.652,43.091,74.646,28.748
-1.200,0.587,-1.706,57.373,64.575,26.611
-1.178,0.720,-1.768,68.054,53.284,22.766
-1.175,0.822,-1.750,71.350,40.344,14.282
-1.157,0.847,-1.747,68.237,27.893,1.282
-1.138,0.815,-1.774,62.195,16.724,-11.963
-1.143,0.813,-1.772,54.260,3.418,-21.790
-1.142,0.754,-1.735,45.471,-11.841,-31.067
-1.108,0.710,-1.709,37.903,-27.222,-37.231
-1.081,0.675,-1.662,32.043,-43.091,-40.283
-1.029,0.663,-1.617,26.794,-58.594,-41.565
-0.968,0.674,-1.560,20.508,-73.608,-41.809
-0.945,0.629,-1.455,15.808,-88.745,-43.579
-0.935,0.587,-1.341,12.939,-101.135,-44.556
-0.928,0.590,-1.267,9.583,-110.413,-43.762
-0.958,0.587,-1.192,5.188,-118.286,-43.762
-1.005,0.581,-1.123,2.991,-125.549,-45.166
-1.024,0.631,-1.123,1.404,-130.432,-46.997
-1.032,0.716,-1.167,2.441,-135.254,-50.781
-1.019,0.767,-1.201,9.949,-143.188,-60.242
-0.989,0.848,-1.156,16.846,-155.212,-72.876
-0.972,0.845,-1.082,18.555,-166.931,-89.661
-1.009,0.741,-1.043,20.447,-177.734,-109.253
-1.037,0.657,-0.976,20.752,-191.956,-125.610
-1.038,0.603,-0.889,18.738,-207.336,-138.428
-1.041,0.514,-0.814,15.747,-221.985,-151.123
-1.031,0.405,-0.725,13.855,-237.000,-161.682
-1.029,0.300,-0.609,13.489,-252.441,-168.030
-1.088,0.287,-0.586,16.052,-265.076,-171.143
-1.158,0.370,-0.641,19.470,-277.649,-175.293
-1.179,0.439,-0.647,19.897,-297.913,-187.256
-1.156,0.479,-0.577,28.687,-323.792,-208.130
-1.200,0.501,-0.384,44.678,-351.318,-234.131
-1.258,0.424,-0.143,58.411,-373.230,-264.282
-1.255,0.299,0.002,56.946,-383.362,-292.419
-1.258,0.264,0.113,52.551,-390.137,-312.134
-1.294,0.279,0.230,62.073,-397.095,-331.665
-1.360,0.221,0.321,86.548,-403.809,-357.910
-1.484,0.112,0.495,118.958,-411.682,-385.925
-1.566,-0.128,0.772,146.912,-414.429,-411.438
-1.590,-0.424,1.007,167.236,-402.649,-425.781
-1.476,-0.703,1.198,157.043,-375.366,-425.171
-1.274,-0.924,1.311,133.423,-338.074,-415.283
-1.030,-1.043,1.408,125.549,-294.189,-404.480
-0.790,-0.969,1.337,154.785,-238.831,-403.992
-0.627,-0.863,1.125,155.151,-173.584,-420.776
-0.618,-0.956,0.890,90.881,-115.540,-445.251
-0.653,-1.084,0.656,15.442,-66.101,-461.853
-0.613,-1.166,0.232,-8.728,-25.269,-469.543
-0.606,-1.232,-0.136,18.555,-7.507,-472.290
-0.651,-1.382,-0.427,86.731,-14.832,-473.267
-0.671,-1.549,-0.467,119.141,-34.363,-465.759
-0.614,-1.669,-0.361,101.563,-54.321,-447.693
-0.539,-1.768,-0.226,80.444,-69.641,-424.988
